auto_id,Year,Make,Model,Full Carbon,Full Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
1,Other,Acura,ILX,200,280,100,150,170,260
2,Other,Acura,Integra,200,280,100,150,170,260
3,2019,Acura,MDX,225,325,100,150,195,275
4,Other,Acura,NSX,240,340,100,150,180,260
5,Other,Acura,RDX,225,325,120,170,195,275
6,Other,Acura,RLX,200,280,120,170,170,260
7,Other,Acura,RSX,180,280,100,150,120,190
8,2014,Acura,TL,200,280,100,150,170,260
9,Other,Acura,TLX,200,280,100,150,170,260
10,Other,Acura,TSX,200,280,100,150,170,260
11,Other,Acura,ZDX,200,280,100,150,170,260
12,Other,Alfa Romeo,Guilia,200,280,100,150,170,260
13,Other,Alfa Romeo,Stelvio,225,325,100,150,195,275
14,Other,Alfa Romeo,4c spider,180,280,100,150,170,260
15,Other,Alfa Romeo,Tonale,250,350,100,150,195,275
16,Other,Aston Martin,DBX,360,460,170,200,325,425
17,Other,Aston Martin,Vantage,300,400,170,200,200,270
18,Other,Aston Martin,Vanquish,300,400,170,200,200,270
19,Other,Aston Martin,Volante db11,300,400,170,200,200,270
20,Other,Aston Martin,Rapide,300,400,170,200,200,300
21,2011,Audi,A3 wagon,225,325,100,150,195,275
22,Other,Audi,A3 etron,200,300,100,150,170,260
23,Other,Audi,A4,200,280,100,150,170,260
24,Other,Audi,A5 cabriola,180,280,100,150,130,200
25,Other,Audi,A5,200,280,100,150,170,260
26,Other,Audi,A6,200,280,100,150,170,260
27,Other,Audi,A8,200,280,100,150,170,260
28,Other,Audi,etron,225,325,100,150,195,275
29,Other,Audi,etron GT,260,360,170,200,200,300
30,Other,Audi,Q3,225,325,100,150,195,275
31,Other,Audi,Q4 sportback,280,380,120,170,225,325
32,Other,Audi,Q4,250,350,120,170,195,275
33,Other,Audi,Q5,225,325,100,150,195,275
34,Other,Audi,Q7,225,325,100,150,195,275
35,2023,Audi,Q7,250,350,120,170,225,325
36,Other,Audi,Q8,300,400,100,150,250,350
37,Other,Audi,Q8 etron,300,400,100,150,250,350
38,Other,Audi,R8,400,500,200,260,200,270
39,Other,Audi,RS6 wagon,300,400,170,200,260,350
40,Other,Audi,RS7,240,340,170,200,300,400
41,Other,Audi,S3 Hatch,200,280,100,150,170,260
42,Other,Audi,S4,200,280,100,150,170,260
43,Other,Audi,S8,280,380,100,150,225,300
44,Other,Audi,SQ5,225,325,100,150,195,275
45,Other,Audi,TT,180,280,100,150,120,190
46,Other,Bentley,Bentayga,500,600,170,235,400,500
47,Other,Bentley,continental,400,500,170,200,300,400
48,Other,BMW,128i,180,280,100,150,130,200
49,Other,BMW,2 series,180,280,100,150,150,200
50,Other,BMW,3 series,200,280,100,150,170,260
51,Other,BMW,3 series wagon,260,360,100,150,200,300
52,Other,BMW,4 series,200,280,100,150,170,260
53,Other,BMW,428i grand coupe,200,280,100,150,170,260
54,Other,BMW,5 series,200,280,100,150,170,260
55,Other,BMW,530e,200,280,100,150,170,260
56,Other,BMW,5S,200,280,100,150,170,260
57,Other,BMW,6 series,180,280,100,150,150,200
58,Other,BMW,750i,300,400,120,170,240,300
59,Other,BMW,750LI,325,425,120,170,240,300
60,Other,BMW,840i,240,340,100,150,200,275
61,Other,BMW,840i gran coupe,260,360,100,150,210,300
62,Other,BMW,i3,225,325,120,170,180,240
63,Other,BMW,i4 35,200,280,100,150,170,260
64,Other,BMW,i4 M50,200,280,100,150,170,260
65,Other,BMW,i8,260,360,170,220,200,300
66,Other,BMW,ix coupe,330,430,170,200,250,350
67,Other,BMW,M2,325,425,170,200,275,375
68,Other,BMW,M340i,200,300,100,150,130,200
69,Other,BMW,M4 competition,260,360,100,150,225,300
70,Other,BMW,M4,260,360,100,150,225,300
71,Other,BMW,M5,280,380,100,150,225,300
72,Other,BMW,M6,280,380,170,200,200,280
73,Other,BMW,M8,260,360,170,200,200,280
74,Other,BMW,M850i,280,380,170,200,170,260
75,Other,BMW,X1,250,250,170,200,200,280
76,Other,BMW,X2,225,325,100,150,180,260
77,Other,BMW,X3,250,350,100,150,200,300
78,Other,BMW,X4,250,350,130,200,200,300
79,Other,BMW,X5,250,350,100,150,240,320
80,Other,BMW,X6,250,350,100,150,200,300
81,Other,BMW,X7,250,350,100,150,200,300
82,Other,BMW,Z4,225,325,100,150,200,280
83,Other,Buick,Encore,250,350,120,170,195,275
84,Other,Buick,Century,200,280,100,150,170,260
85,Other,Buick,Enclave,250,350,120,170,220,320
86,Other,Buick,Lacrosse,200,280,100,150,170,260
87,Other,Buick,Regal,200,280,100,150,170,260
88,Other,Cadillac,ATS,200,280,100,150,170,260
89,Other,Cadillac,CT4,200,280,100,150,170,260
90,Other,Cadillac,CT5,200,280,100,150,170,260
91,Other,Cadillac,CTS,200,280,100,150,170,260
92,Other,Cadillac,Escalade,330,430,120,170,280,380
93,Other,Cadillac,Lyriq,250,350,120,170,195,275
94,Other,Cadillac,SRX,225,325,100,150,195,275
95,Other,Cadillac,XT4,250,350,120,170,195,275
96,Other,Cadillac,XT6,280,380,120,170,240,340
97,Other,Cadillac,xts,200,280,100,150,170,260
98,2005,Chevrolet,Astrovan,390,490,100,150,250,450
99,Other,Chevrolet,avalanche,200,280,100,150,170,260
100,Other,Chevrolet,Aveo,200,280,100,150,130,200
101,Other,Chevrolet,Blazer,250,350,120,170,220,320
102,Other,Chevrolet,Bolt,200,300,120,170,170,260
103,Other,Chevrolet,Camaro,180,280,100,150,150,220
104,Other,Chevrolet,Colorado,200,280,100,150,160,220
105,2020,Chevrolet,Corvette C8,200,300,100,150,150,200
106,Other,Chevrolet,Corvette,200,300,100,150,170,260
107,Other,Chevrolet,Cruze,200,280,100,150,170,260
108,Other,Chevrolet,Equinox,250,350,100,150,220,320
109,Other,Chevrolet,Express,500,600,100,150,450,550
110,Other,Chevrolet,HHR,250,350,120,170,220,320
111,Other,Chevrolet,Impala,200,280,100,150,170,260
112,Other,Chevrolet,Malibu,200,280,100,150,170,260
113,Other,Chevrolet,Silverado,200,300,100,150,160,240
114,Other,Chevrolet,Suburban,250,350,100,150,220,320
115,Other,Chevrolet,Tahoe,250,350,100,150,220,320
116,Other,Chevrolet,Trailblazer,225,325,100,150,200,280
117,Other,Chevrolet,Traverse,250,350,100,150,220,320
118,Other,Chevrolet,Trax,250,350,120,170,200,275
119,Other,Chevrolet,Volt,200,300,120,170,180,260
120,Other,Chevrolet,Spark,200,280,100,150,180,260
121,Other,Chrysler,200,200,280,100,150,180,260
122,Other,Chrysler,300,200,280,100,150,180,260
123,Other,Chrysler,Crossfire,180,280,100,150,130,200
124,Other,Chrysler,Pacifica,325,425,120,170,300,380
125,Other,Chrysler,PT cruiser,200,280,100,150,180,260
126,Other,Chrysler,Sebring,200,280,100,150,170,260
127,Other,Chrysler,Town & Country,250,350,100,150,220,320
128,Other,Chrysler,Voyager,250,350,100,150,220,320
129,Other,Dodge,Avenger,200,280,100,150,170,260
130,Other,Dodge,Caravan,300,400,100,150,250,350
131,Other,Dodge,Challenger,200,300,100,150,140,200
132,Other,Dodge,Charger,225,325,100,150,200,260
133,Other,Dodge,Dart,200,280,100,150,170,260
134,Other,Dodge,Durango,250,350,100,150,200,300
135,Other,Dodge,Grand Caravan,300,400,100,150,260,350
136,Other,Dodge,Journey,250,350,100,150,220,320
137,2006,Dodge,Magnum,225,325,100,150,180,260
138,Other,Dodge,Nitro,250,350,100,150,220,320
139,Other,Dodge,Ram,200,280,100,150,170,260
140,Other,Dodge,Ram Promaster Van,380,480,150,200,300,400
141,Other,Dodge,SPRINTER,380,480,150,200,300,400
142,Other,Ferrari,488,400,500,170,200,300,400
143,Other,Ferrari,Tribuo,400,500,170,200,300,400
144,Other,Fiat,500,180,280,100,150,130,200
145,Other,Ford,Bronco Sport,225,325,100,150,200,280
146,Other,Ford,C-Max,220,320,120,170,180,260
147,Other,Ford,Crown Victoria,200,280,100,150,180,260
148,Other,Ford,Ecosport,225,325,120,170,195,275
149,Other,Ford,Edge,225,325,100,150,195,275
150,Other,Ford,Escape,250,350,100,150,220,320
151,2006,Ford,Escape,270,370,100,150,220,320
152,Other,Ford,Excursion,250,350,100,150,220,320
153,Other,Ford,Expedition,250,350,100,150,220,320
154,Other,Ford,Explorer,250,350,100,150,220,320
155,Other,Ford,F150,200,300,100,150,170,260
156,Other,Ford,F250,200,300,100,150,170,260
157,Other,Ford,F350,200,300,100,150,170,260
158,Other,Ford,F450,190,290,100,150,170,260
159,Other,Ford,F550,190,290,100,150,170,260
160,Other,Ford,Fiesta,200,300,120,170,170,220
161,2006,Ford,Five Hundred,200,280,100,150,170,220
162,Other,Ford,Flex,260,360,120,170,220,320
163,Other,Ford,Focus,200,280,100,150,170,260
164,Other,Ford,Fusion,200,300,120,170,170,260
165,Other,Ford,Maverick,200,280,100,150,170,260
166,Other,Ford,Mustang Mach e,225,325,100,150,195,275
167,Other,Ford,Mustang,180,280,100,150,160,240
168,Other,Ford,Mustang Convertible,200,300,100,150,160,240
169,Other,Ford,Ranger,200,300,100,150,170,260
170,Other,Ford,Taurus,200,280,100,150,170,260
171,Other,Genesis,G70,200,280,100,150,170,260
172,Other,Genesis,G90,280,380,170,200,230,330
173,Other,Genesis,GV80,250,350,120,170,195,275
174,Other,GMC,Acadia,250,350,100,150,220,320
175,Other,GMC,Canyon,200,280,100,150,170,260
176,Other,GMC,Denali,250,350,100,150,220,320
177,Other,GMC,Hummer EV SUV,300,400,120,170,250,350
178,Other,GMC,Savana,500,600,100,150,450,550
179,Other,GMC,Sierra,200,280,100,150,170,260
180,Other,GMC,Terrain,250,350,100,150,220,320
181,Other,GMC,Yukon,225,350,100,150,200,280
182,Other,GMC,Yukon XL,300,400,100,150,260,360
183,Other,Honda,Accord,160,260,100,150,120,190
184,Other,Honda,Civic,160,260,100,150,120,190
185,2022,Honda,Civic Hatchback,200,280,100,150,170,260
186,Other,Honda,Clarity,200,300,120,170,170,260
187,Other,Honda,Crosstour,225,325,100,150,195,275
188,Other,Honda,CRV,225,325,100,150,195,275
189,Other,Honda,CR-Z (6) ask about window below spoiler,200,300,100,150,170,260
190,Other,Honda,Element,250,350,100,150,220,320
191,Other,Honda,Fit,220,320,120,170,175,260
192,2023,Honda,HRV,250,350,100,150,195,275
193,Other,Honda,Insight,160,260,100,150,120,190
194,Other,Honda,Odyssey,280,380,120,170,260,340
195,Other,Honda,Passport,290,390,120,170,260,325
196,Other,Honda,Pilot,290,390,120,170,260,325
197,1990,Honda,Prelude,160,260,100,150,140,220
198,Other,Honda,Ridgeline,280,380,120,170,240,340
199,Other,Hummer,H1,340,440,120,170,300,380
200,Other,Hummer,H2,340,440,120,170,300,380
201,Other,Hummer,H3,340,440,120,170,300,380
202,Other,Hyundai,Azera,200,280,100,150,170,260
203,Other,Hyundai,Elantra,200,280,100,150,170,260
204,Other,Hyundai,Accent,200,280,100,150,170,260
205,Other,hyundai,Genesis,160,260,100,150,120,190
206,Other,Hyundai,Ioniq,220,300,100,150,170,260
207,2019,Hyundai,Kona,225,325,100,150,195,275
208,Other,Hyundai,Palisades,250,350,100,150,220,320
209,Other,Hyundai,Santa fe,250,350,120,170,220,320
210,Other,Hyundai,Santa Cruz,200,280,100,150,170,260
211,2019,Hyundai,Sonata,200,280,100,150,170,260
212,Other,Hyundai,Tuscan,225,325,100,150,195,275
213,Other,Hyundai,Veloster,200,280,100,150,170,275
214,2012,Infiniti,G 25,200,280,100,150,170,260
215,Other,Infiniti,G 35 Coupe,160,260,100,150,130,190
216,Other,Infiniti,G 35,200,280,100,150,170,260
217,Other,Infiniti,G 37,200,280,100,150,170,260
218,Other,Infiniti,M45,200,280,100,150,170,260
219,Other,Infiniti,Q 50,200,280,100,150,170,260
220,Other,Infiniti,Q 60,160,260,100,150,130,200
221,Other,Infiniti,Q 70,200,280,100,150,170,260
222,Other,Infiniti,QX 30,225,325,100,150,195,275
223,Other,Infiniti,QX 50,225,325,100,150,195,275
224,Other,Infiniti,QX 60,250,350,100,150,220,320
225,Other,Infiniti,QX 80,250,350,100,150,220,320
226,Other,Jaguar,E Pace,200,280,100,150,170,260
227,Other,Jaguar,F pace,200,280,100,150,170,260
228,Other,Jaguar,F type,200,280,100,150,170,260
229,Other,Jaguar,I pace,250,350,120,150,200,280
230,Other,Jaguar,XE,200,280,100,150,170,260
231,Other,Jaguar,XF,200,280,100,150,170,260
232,Other,Jaguar,XF Sports break,225,325,100,150,170,230
233,Other,Jaguar,XJ,200,280,100,150,170,260
234,Other,Jeep,4x4,250,350,100,150,220,320
235,Other,Jeep,Compass,225,325,100,150,195,275
236,Other,Jeep,Cherokee small,225,325,100,150,195,275
237,Other,Jeep,Gladiator,225,325,100,150,200,280
238,Other,Jeep,Grand Cherokee,250,350,100,150,220,320
239,Other,Jeep,Liberty,250,350,100,150,220,320
240,Other,Jeep,Patriot,250,350,100,150,220,320
241,Other,Jeep,Renegade,250,350,120,170,220,320
242,Other,Jeep,Rubicon,250,350,120,170,220,320
243,Other,Jeep,Wrangler,250,350,100,150,200,300
244,Other,Jeep,Grand Wagoneer,340,440,170,200,325,425
245,Other,Karma,Revero,260,360,170,200,200,300
246,Other,Kia,Cadenza,200,280,100,150,170,260
247,Other,kia,Carnival,250,350,120,170,220,320
248,Other,Kia,EV6,225,325,100,150,195,275
249,2019,Kia,Forte,200,280,100,150,170,260
250,2018,Kia,Forte,200,300,120,170,170,260
251,Other,Kia,Niro Ex,225,325,100,150,195,275
252,Other,Kia,Optima,200,280,100,150,170,260
253,Other,Kia,K5,220,320,120,170,170,260
254,Other,Kia,Rio,200,280,100,150,170,260
255,Other,Kia,Sedona,280,380,120,170,240,340
256,2021,Kia,Seltos,225,325,100,150,195,275
257,Other,Kia,Spectra,200,280,100,150,170,260
258,2023,Kia,Sportage,250,350,120,170,220,320
259,Other,Kia,Sport,225,325,100,150,195,275
260,Other,Kia,Sorrento,250,350,120,170,220,320
261,Other,Kia,Soul,200,280,100,150,170,260
262,Other,Kia,Stinger,200,280,100,150,170,260
263,Other,Kia,Telluride,260,360,100,150,220,320
264,Other,Land Rover,Defender,260,360,100,150,220,320
